Date,Prev_Active_Addresses_Z
2015-12-01,2.3545812013296046
2016-01-01,2.481817598019755
2016-02-01,1.821415820270189
2016-03-01,1.9135306191865127
2016-04-01,1.0672529958310548
2016-05-01,0.9466218357317361
2016-06-01,0.7828276205974766
2016-07-01,1.1085072510892435
2016-08-01,0.20758611111189368
2016-09-01,0.4116655995909044
2016-10-01,0.5858687775483971
2016-11-01,1.5453234225660735
2016-12-01,2.3682793425578716
2017-01-01,2.013594349322824
2017-02-01,1.2222379532501688
2017-03-01,1.5434097047697568
2017-04-01,1.4981899766588886
2017-05-01,1.4599547000516127
2017-06-01,2.0003227975697446
2017-07-01,0.9923805527074055
2017-08-01,-0.3483665288642624
2017-09-01,0.7818835566510093
2017-10-01,0.2591731358216845
2017-11-01,1.6696421699193653
2017-12-01,2.1340840483823262
2018-01-01,2.587355160481633
2018-02-01,1.0097248873819624
2018-03-01,-1.2887817362424105
2018-04-01,-1.3154421905159102
2018-05-01,-1.1155047865746062
2018-06-01,-0.8800762341633463
2018-07-01,-0.9477632277731228
2018-08-01,-0.8043618106737442
2018-09-01,-0.5342100597986682
2018-10-01,-0.43697040632206136
2018-11-01,-0.3410501112794079
2018-12-01,-0.12065580324444408
2019-01-01,-0.3527939900463172
2019-02-01,-0.812766835895527
2019-03-01,1.311318685601439
2019-04-01,1.9756481249987354
2019-05-01,2.300956622360895
2019-06-01,2.27228756161644
2019-07-01,2.162573668453701
2019-08-01,0.513157191914419
2019-09-01,0.28752670843263217
2019-10-01,0.3267181362173897
2019-11-01,-0.13253330332736715
2019-12-01,0.1178973631147259
2020-01-01,-0.5363989070886923
2020-02-01,-0.6912581011919323
2020-03-01,0.06950854343264522
2020-04-01,-0.4970894409391062
2020-05-01,0.6323323334853582
2020-06-01,1.4051845041154931
2020-07-01,1.9852311682272477
2020-08-01,2.0442445287627184
2020-09-01,1.896099281055852
2020-10-01,1.3241224563728657
2020-11-01,0.9827298653415106
2020-12-01,1.0928856226930441
2021-01-01,1.086631213346974
2021-02-01,1.7331555006464545
2021-03-01,1.9625233735579064
2021-04-01,1.6001040486833535
2021-05-01,1.1117559137985351
2021-06-01,-0.1881399910117837
2021-07-01,-1.8603234642471742
2021-08-01,-1.8043866859185396
2021-09-01,-1.234322100807683
2021-10-01,-0.6957769983257699
2021-11-01,-0.04979191647114082
2021-12-01,0.25266369621058776
2022-01-01,-0.0513040977242066
2022-02-01,-0.2108598117387806
2022-03-01,-0.10654524370993701
2022-04-01,0.4304760429669809
2022-05-01,0.1170233912858033
2022-06-01,0.06179670753404716
2022-07-01,-0.10599824518559468
2022-08-01,-0.6953055814149295
2022-09-01,-0.7799156401518483
2022-10-01,-0.19066348600093225
2022-11-01,-0.9902240920169008
2022-12-01,0.6360950906035815
2023-01-01,-0.5541669499058529
2023-02-01,0.19172350113770437
2023-03-01,1.8406025361659968
2023-04-01,1.8735351783008105
2023-05-01,1.385264575102747
2023-06-01,-1.2705668183801508
2023-07-01,1.0418149068136786
2023-08-01,1.45473240397109
2023-09-01,0.9306072826855882
2023-10-01,2.265576108519481
2023-11-01,-0.134662197159663
2023-12-01,2.320869414599167
2024-01-01,-0.25136249478163114
2024-02-01,-1.315941208297266
2024-03-01,-0.9813003612190829
2024-04-01,-0.5891347467399255
2024-05-01,-0.6675906463121913
2024-06-01,-2.423976335320304
2024-07-01,-2.0055378082780675
2024-08-01,-1.4680703612799935
2024-09-01,-0.9934060053198477
2024-10-01,-0.9288589859412296
2024-11-01,-0.7967315467228135
2024-12-01,0.1192022986547287
2025-01-01,0.30070298070266666
2025-02-01,-0.07706694315649582
2025-03-01,-0.09238853789676321
2025-04-01,-0.06843189045218094
2025-05-01,0.2865879013662989
2025-06-01,0.3116209130734004
2025-07-01,-0.7305867559525443
2025-08-01,0.12284913271828897
2025-09-01,0.8051946256761393
2025-10-01,-0.2384880220589957
