Date,Ret_NDX
2015-12-01,-1.894381960930147
2016-01-01,-6.626108276606091
2016-02-01,-1.5653771048139142
2016-03-01,6.536589249007596
2016-04-01,-2.8996349349174055
2016-05-01,4.3700358938454364
2016-06-01,-2.53759275351666
2016-07-01,7.4362131093987704
2016-08-01,1.0500783313444062
2016-09-01,1.9580687097572547
2016-10-01,-1.210310364352929
2016-11-01,0.43594987534962826
2016-12-01,0.8340415020036129
2017-01-01,5.451024671215188
2017-02-01,4.375053982981436
2017-03-01,1.8151108961988127
2017-04-01,2.94063158750284
2017-05-01,3.8973576861162096
2017-06-01,-2.5833333619453502
2017-07-01,4.344828736730588
2017-08-01,2.0735463467996817
2017-09-01,-0.5129685463857947
2017-10-01,4.835369011502277
2017-11-01,1.9717154257344216
2017-12-01,0.3931587392411062
2018-01-01,8.984520881855707
2018-02-01,-1.292781648419361
2018-03-01,-4.234216879132646
2018-04-01,0.6688792166706481
2018-05-01,5.672958786545057
2018-06-01,0.9290177254666521
2018-07-01,3.016401569707483
2018-08-01,5.780663300793987
2018-09-01,-0.46073158065746966
2018-10-01,-8.43124651545255
2018-11-01,-0.2649749792869249
2018-12-01,-8.921312677899495
2019-01-01,9.322653337997156
2019-02-01,2.9912040454648903
2019-03-01,3.7357890631478874
2019-04-01,5.6912588838399
2019-05-01,-8.225184276801656
2019-06-01,7.352708043398426
2019-07-01,2.561042175026973
2019-08-01,-1.8995236709330232
2019-09-01,0.7147719565893551
2019-10-01,4.590580494707219
2019-11-01,4.069387751168563
2019-12-01,3.6616282045227377
2020-01-01,3.2618399049043845
2020-02-01,-6.057426417230404
2020-03-01,-7.483007814283593
2020-04-01,15.218750539149916
2020-05-01,6.6008839957350185
2020-06-01,6.102180850970429
2020-07-01,7.533196332142866
2020-08-01,10.944747580655001
2020-09-01,-5.778639542696473
2020-10-01,-3.044921593656824
2020-11-01,11.225763528921062
2020-12-01,4.712660142275871
2021-01-01,0.4431075090295833
2021-02-01,-0.13351200165262478
2021-03-01,1.5884394314174877
2021-04-01,6.043586285954072
2021-05-01,-1.2012235526459913
2021-06-01,6.138996741045677
2021-07-01,2.9802585791246283
2021-08-01,4.218687532420828
2021-09-01,-5.787634193139168
2021-10-01,7.983632824049436
2021-11-01,1.9968393144731422
2021-12-01,1.0232962062934448
2022-01-01,-8.630463775371256
2022-02-01,-4.475993755072027
2022-03-01,4.538664195468156
2022-04-01,-13.488927239371352
2022-05-01,-1.5865870544510052
2022-06-01,-9.08264956831336
2022-07-01,12.76806373495214
2022-08-01,-5.132192907477506
2022-09-01,-10.696006376737232
2022-10-01,4.186745197066299
2022-11-01,5.544166179629584
2022-12-01,-9.230975399473884
2023-01-01,10.907803747858424
2023-02-01,-0.3597657589060721
2023-03-01,9.32347367940418
2023-04-01,0.6634926297664379
2023-05-01,7.883808580202589
2023-06-01,6.158218385514247
2023-07-01,4.002568825219499
2023-08-01,-1.4830019890654578
2023-09-01,-5.217073167737296
2023-10-01,-1.9237217421850583
2023-11-01,10.818834423504843
2023-12-01,5.321081863904098
2024-01-01,2.0762437256712785
2024-02-01,5.2833588172129575
2024-03-01,1.1412331472551829
2024-04-01,-4.24734581226306
2024-05-01,6.1518318820323215
2024-06-01,6.301162218658796
2024-07-01,-1.5218314570713876
2024-08-01,1.1038626910651272
2024-09-01,2.477592045394661
2024-10-01,-0.7253175262930456
2024-11-01,5.350822073916617
2024-12-01,0.2923165423871943
2025-01-01,2.3281333563716977
2025-02-01,-2.703458350909116
2025-03-01,-7.723793731968886
2025-04-01,1.5480279445670986
2025-05-01,9.178291098793668
2025-06-01,6.266492413136415
2025-07-01,2.5387145428815705
2025-08-01,0.9539707594464986
2025-09-01,5.254197469139865
2025-10-01,4.901857207763971
