Date,Ret_TLT
2015-12-01,-0.49996074467556495
2016-01-01,6.018735633893346
2016-02-01,2.890918635530615
2016-03-01,-0.09339107067749541
2016-04-01,-0.7538465819023288
2016-05-01,0.8112883698400575
2016-06-01,6.9296878143473295
2016-07-01,2.1245230041858854
2016-08-01,-1.01208780693538
2016-09-01,-1.5078324936819376
2016-10-01,-4.378696750862698
2016-11-01,-8.223720765340225
2016-12-01,-0.7340966805555404
2017-01-01,1.2828948980942334
2017-02-01,1.3655500230181028
2017-03-01,-0.6318216062696558
2017-04-01,1.5538672816380217
2017-05-01,1.8907506365196003
2017-06-01,0.7888200074950946
2017-07-01,-0.6531075749190429
2017-08-01,3.3977086576054916
2017-09-01,-2.3118471804970397
2017-10-01,-0.03507140470656589
2017-11-01,0.7337876787208097
2017-12-01,1.6053851925898366
2018-01-01,-2.8529674575803132
2018-02-01,-3.242902697829031
2018-03-01,2.8663714287624042
2018-04-01,-2.0999444372377107
2018-05-01,1.9975904391253962
2018-06-01,0.6338799981532306
2018-07-01,-1.4310791187921112
2018-08-01,1.314909676590048
2018-09-01,-2.8659576239308815
2018-10-01,-2.928346348532229
2018-11-01,1.7672302022181618
2018-12-01,5.61426891736323
2019-01-01,0.8501162910712345
2019-02-01,-1.5987395491932066
2019-03-01,5.58718212057574
2019-04-01,-1.9999953543680782
2019-05-01,6.850395771230788
2019-06-01,0.9548086933911071
2019-07-01,0.26558258325377615
2019-08-01,11.045906786357861
2019-09-01,-2.6582862326042234
2019-10-01,-1.1114209883560822
2019-11-01,-0.40660274421775444
2019-12-01,-3.3497101601426937
2020-01-01,8.048936867375712
2020-02-01,6.449653422119694
2020-03-01,6.396240810002163
2020-04-01,1.2222628206083552
2020-05-01,-1.7474595917163716
2020-06-01,0.3377963784780613
2020-07-01,4.446933451933632
2020-08-01,-5.0408297472128165
2020-09-01,0.7716441519069361
2020-10-01,-3.376176662831576
2020-11-01,1.66005645833176
2020-12-01,-1.325254437260126
2021-01-01,-3.4338289380126397
2021-02-01,-5.8421140025577305
2021-03-01,-5.249444184214647
2021-04-01,2.4782252438209085
2021-05-01,-0.007647183914960554
2021-06-01,4.421920774086763
2021-07-01,3.730666095076085
2021-08-01,-0.3317026307332327
2021-09-01,-2.9121046165870745
2021-10-01,2.465166573920219
2021-11-01,2.7710201344671503
2021-12-01,-2.1182927274297825
2022-01-01,-3.6886929556287917
2022-02-01,-1.7698093847893004
2022-03-01,-5.437942040545329
2022-04-01,-9.442632173685928
2022-05-01,-2.26997982877688
2022-06-01,-1.282089872504788
2022-07-01,2.4104497629438226
2022-08-01,-4.53757125537172
2022-09-01,-8.262273440500568
2022-10-01,-5.990066514965864
2022-11-01,7.143138477579658
2022-12-01,-2.847254393876286
2023-01-01,8.160944637281364
2023-02-01,-5.094689606206682
2023-03-01,4.850682311506671
2023-04-01,0.331201653483415
2023-05-01,-3.014153756961202
2023-06-01,0.20370978601809142
2023-07-01,-2.549164745687049
2023-08-01,-3.1466936151420044
2023-09-01,-7.973478979926307
2023-10-01,-5.478986935026087
2023-11-01,9.8946916435821
2023-12-01,8.365582672883743
2024-01-01,-1.61967028287342
2024-02-01,-2.565698284138951
2024-03-01,0.7904369734453187
2024-04-01,-6.470931306342553
2024-05-01,2.8669549584243725
2024-06-01,1.825943881171499
2024-07-01,3.654319981900356
2024-08-01,2.095683233397927
2024-09-01,2.0074731546465774
2024-10-01,-5.452721599073673
2024-11-01,1.972598299581163
2024-12-01,-6.752390866276114
2025-01-01,1.2331548986093566
2025-02-01,5.321326821143413
2025-03-01,-1.1632711183162447
2025-04-01,-1.4043649447485596
2025-05-01,-3.218848541242736
2025-06-01,2.6596110526057037
2025-07-01,-1.1404345420818696
2025-08-01,0.0035315454176787497
2025-09-01,3.5931088124592003
2025-10-01,1.4135338994752722
