Date,Ret_Transactions
2015-12-01,24.093897469231763
2016-01-01,-5.109540347879582
2016-02-01,16.373354341324564
2016-03-01,-7.166653263452605
2016-04-01,3.3237677270887334
2016-05-01,7.44247936110618
2016-06-01,2.8727935429707863
2016-07-01,-8.146868366661764
2016-08-01,6.903118151508392
2016-09-01,-2.0561708632139353
2016-10-01,7.922532942539262
2016-11-01,10.914451084463849
2016-12-01,6.230740372083554
2017-01-01,-0.8172468435181157
2017-02-01,4.5964249243269695
2017-03-01,-0.4446410284376978
2017-04-01,-4.335241210644036
2017-05-01,16.24045778854679
2017-06-01,-13.290848647612796
2017-07-01,-15.090965393152022
2017-08-01,3.768583217104715
2017-09-01,0.7814686169200558
2017-10-01,13.798824928580533
2017-11-01,7.454363308251355
2017-12-01,23.819156382164852
2018-01-01,-19.665199978349413
2018-02-01,-35.08012843663813
2018-03-01,-5.286613330549073
2018-04-01,0.21008030497968733
2018-05-01,8.616575544395966
2018-06-01,-4.942705007778613
2018-07-01,5.598323261635008
2018-08-01,6.755256689031275
2018-09-01,5.977309248223395
2018-10-01,4.811147510742053
2018-11-01,12.31001957802711
2018-12-01,-2.5699926879989676
2019-01-01,10.95546623620438
2019-02-01,11.461517938069665
2019-03-01,-6.520056030239429
2019-04-01,21.467221683315874
2019-05-01,0.7256235805690459
2019-06-01,-5.219604789197185
2019-07-01,-4.336809903538086
2019-08-01,-2.689363964493585
2019-09-01,0.8039531552116674
2019-10-01,-3.1983126826580333
2019-11-01,-2.928559468015546
2019-12-01,-2.185523622708929
2020-01-01,0.9694515461937225
2020-02-01,6.307946218607663
2020-03-01,-9.566855595569933
2020-04-01,-3.535780432770297
2020-05-01,4.780494940375335
2020-06-01,2.1479137372423462
2020-07-01,5.88384707819134
2020-08-01,-0.9369708768981244
2020-09-01,-1.103355018095098
2020-10-01,-2.3282633089151683
2020-11-01,-1.895967107626484
2020-12-01,2.9260848544347073
2021-01-01,5.523856004047589
2021-02-01,-1.812528317404416
2021-03-01,-7.14761024256817
2021-04-01,-6.013510827962765
2021-05-01,-7.172383690144068
2021-06-01,-16.659669711823454
2021-07-01,-1.7998710884307711
2021-08-01,12.40228243334287
2021-09-01,4.502076338805572
2021-10-01,8.498188934341155
2021-11-01,1.1180113718604723
2021-12-01,-4.562671235341131
2022-01-01,-4.5298708786772774
2022-02-01,-0.3750407803281286
2022-03-01,1.0810504449464187
2022-04-01,3.2966036793055986
2022-05-01,1.0273131274352698
2022-06-01,-4.727571121137897
2022-07-01,-1.070862307561271
2022-08-01,1.6636952801287297
2022-09-01,0.16373213618345872
2022-10-01,1.961794607835432
2022-11-01,1.988234780162701
2022-12-01,-2.5107822824016024
2023-01-01,8.912819340230872
2023-02-01,6.930976318776794
2023-03-01,5.844297955853905
2023-04-01,6.097591344470565
2023-05-01,56.849825623873265
2023-06-01,-21.830741637178775
2023-07-01,9.185997266475665
2023-08-01,4.09642874332099
2023-09-01,9.470954181280034
2023-10-01,-39.20324240070742
2023-11-01,76.91215914252277
2023-12-01,-0.5100086917381397
2024-01-01,-11.318050642047206
2024-02-01,-22.401322960985194
2024-03-01,-0.2318789703454227
2024-04-01,24.002668167485442
2024-05-01,19.393482049602873
2024-06-01,5.380562645298581
2024-07-01,5.641125982349227
2024-08-01,-2.3354263285023102
2024-09-01,-1.3882025184618119
2024-10-01,9.6153681996616
2024-11-01,-14.96846185098849
2024-12-01,-22.541452836768716
2025-01-01,-12.139013737677018
2025-02-01,2.020217368310928
2025-03-01,4.572612457917913
2025-04-01,1.3970454034232027
2025-05-01,-4.547430394453212
2025-06-01,-11.430369614537671
2025-07-01,19.58212213629562
2025-08-01,5.168186671335051
2025-09-01,17.828242923735548
2025-10-01,-7.39294003979839
