Date,Trend_DXY
2015-12-01,-1.5400009155273438
2016-01-01,0.9800033569335938
2016-02-01,-1.4000015258789062
2016-03-01,-3.6200027465820312
2016-04-01,-1.5099945068359375
2016-05-01,2.80999755859375
2016-06-01,0.25
2016-07-01,-0.6100006103515625
2016-08-01,0.48999786376953125
2016-09-01,-0.55999755859375
2016-10-01,2.9899978637695312
2016-11-01,3.0500030517578125
2016-12-01,0.8899993896484375
2017-01-01,-2.8799972534179688
2017-02-01,1.6100006103515625
2017-03-01,-0.7700042724609375
2017-04-01,-1.2999954223632812
2017-05-01,-2.1300048828125
2017-06-01,-1.2599945068359375
2017-07-01,-2.8000030517578125
2017-08-01,-0.19000244140625
2017-09-01,0.410003662109375
2017-10-01,1.470001220703125
2017-11-01,-1.5400009155273438
2017-12-01,-0.8899993896484375
2018-01-01,-2.9900054931640625
2018-02-01,1.4800033569335938
2018-03-01,-0.6399993896484375
2018-04-01,1.8699951171875
2018-05-01,2.1500015258789062
2018-06-01,0.6399993896484375
2018-07-01,-0.1399993896484375
2018-08-01,0.6500015258789062
2018-09-01,0.0500030517578125
2018-10-01,1.9399948120117188
2018-11-01,0.1399993896484375
2018-12-01,-1.0999984741210938
2019-01-01,-0.589996337890625
2019-02-01,0.5800018310546875
2019-03-01,1.1199951171875
2019-04-01,0.20000457763671875
2019-05-01,0.26999664306640625
2019-06-01,-1.6200027465820312
2019-07-01,2.3899993896484375
2019-08-01,0.40000152587890625
2019-09-01,0.45999908447265625
2019-10-01,-2.029998779296875
2019-11-01,0.9199981689453125
2019-12-01,-1.8799972534179688
2020-01-01,1.0
2020-02-01,0.7399978637695312
2020-03-01,0.9200057983398438
2020-04-01,-0.03000640869140625
2020-05-01,-0.6800003051757812
2020-06-01,-0.9499969482421875
2020-07-01,-3.9000015258789062
2020-08-01,-1.3499984741210938
2020-09-01,1.75
2020-10-01,0.15000152587890625
2020-11-01,-2.1699981689453125
2020-12-01,-1.9300003051757812
2021-01-01,0.6399993896484375
2021-02-01,0.34999847412109375
2021-03-01,2.3000030517578125
2021-04-01,-1.9500045776367188
2021-05-01,-1.44000244140625
2021-06-01,2.600006103515625
2021-07-01,-0.2700042724609375
2021-08-01,0.45999908447265625
2021-09-01,1.6200027465820312
2021-10-01,-0.12999725341796875
2021-11-01,1.8699951171875
2021-12-01,-0.31999969482421875
2022-01-01,0.8700027465820312
2022-02-01,0.1699981689453125
2022-03-01,1.5999984741210938
2022-04-01,4.650001525878906
2022-05-01,-1.2099990844726562
2022-06-01,2.94000244140625
2022-07-01,1.2099990844726562
2022-08-01,2.7999954223632812
2022-09-01,3.4200057983398438
2022-10-01,-0.5900039672851562
2022-11-01,-5.5800018310546875
2022-12-01,-2.4300003051757812
2023-01-01,-1.4199981689453125
2023-02-01,2.7700042724609375
2023-03-01,-2.3600006103515625
2023-04-01,-0.8400039672851562
2023-05-01,2.6500015258789062
2023-06-01,-1.4099960327148438
2023-07-01,-1.0500030517578125
2023-08-01,1.7600021362304688
2023-09-01,2.5499954223632812
2023-10-01,0.4900054931640625
2023-11-01,-3.160003662109375
2023-12-01,-2.1699981689453125
2024-01-01,1.9399948120117188
2024-02-01,0.8900070190429688
2024-03-01,0.3899993896484375
2024-04-01,1.6699981689453125
2024-05-01,-1.5500030517578125
2024-06-01,1.2000045776367188
2024-07-01,-1.7700042724609375
2024-08-01,-2.4000015258789062
2024-09-01,-0.9199981689453125
2024-10-01,3.2000045776367188
2024-11-01,1.7599945068359375
2024-12-01,2.75
2025-01-01,-0.1199951171875
2025-02-01,-0.7600021362304688
2025-03-01,-3.4000015258789062
2025-04-01,-4.739997863769531
2025-05-01,-0.1399993896484375
2025-06-01,-2.4500045776367188
2025-07-01,3.1500015258789062
2025-08-01,-2.2600021362304688
2025-09-01,0.0
2025-10-01,2.0300064086914062
