Date,RSI_BTC
2015-12-01,53.826906670316156
2016-01-01,48.27699504684489
2016-02-01,53.976893296119
2016-03-01,52.09618070918954
2016-04-01,54.6592867144109
2016-05-01,60.62544484245382
2016-06-01,68.3014491080838
2016-07-01,63.716311780965086
2016-08-01,59.375011281564845
2016-09-01,61.349650595288104
2016-10-01,66.0779684610495
2016-11-01,68.1355870626154
2016-12-01,75.83318437353647
2017-01-01,76.02370082265968
2017-02-01,81.07846082793475
2017-03-01,72.57292636332811
2017-04-01,78.71125923285092
2017-05-01,88.29826539905028
2017-06-01,89.36660616406321
2017-07-01,91.13509276517173
2017-08-01,95.15567476887021
2017-09-01,86.70719403275237
2017-10-01,91.4701335321701
2017-11-01,94.92935290803736
2017-12-01,96.5150628340491
2018-01-01,72.14179900951936
2018-02-01,72.47806923955835
2018-03-01,57.90012944465591
2018-04-01,63.18009913900726
2018-05-01,57.22604909717947
2018-06-01,53.81656764716799
2018-07-01,57.2775432794627
2018-08-01,54.88689698782379
2018-09-01,53.55183507061585
2018-10-01,52.52350327704275
2018-11-01,45.49561394841161
2018-12-01,44.72634684090188
2019-01-01,43.89691552521304
2019-02-01,45.41587545969169
2019-03-01,46.40242906906436
2019-04-01,51.12911918071592
2019-05-01,60.77323152294924
2019-06-01,65.82560027349123
2019-07-01,62.97627154272975
2019-08-01,61.20190358856599
2019-09-01,56.19216159226458
2019-10-01,58.661159499157314
2019-11-01,52.884638769169136
2019-12-01,51.62170532792788
2020-01-01,57.84096858668495
2020-02-01,55.180989264286495
2020-03-01,48.2986223774625
2020-04-01,54.56772307261229
2020-05-01,56.61573523717021
2020-06-01,55.5304921227637
2020-07-01,60.97955558014656
2020-08-01,61.80372728209653
2020-09-01,58.46794688171122
2020-10-01,65.2253208085857
2020-11-01,74.08302821172131
2020-12-01,82.00247999917944
2021-01-01,84.27265462252018
2021-02-01,88.74314719777223
2021-03-01,91.66692800544733
2021-04-01,89.54295967952005
2021-05-01,62.35819691811196
2021-06-01,60.150509081600845
2021-07-01,64.08481456605051
2021-08-01,67.03376953661483
2021-09-01,63.60683390221798
2021-10-01,71.69743652349193
2021-11-01,67.70823268501628
2021-12-01,58.947470290857126
2022-01-01,53.496666544103974
2022-02-01,56.12703691383675
2022-03-01,57.418644479292105
2022-04-01,51.926973571195546
2022-05-01,48.17106900901015
2022-06-01,41.601184259870415
2022-07-01,44.032976456931436
2022-08-01,42.27848972688379
2022-09-01,41.940159974492545
2022-10-01,42.7890456789841
2022-11-01,40.78105761041
2022-12-01,40.3999435998614
2023-01-01,46.15187983329066
2023-02-01,46.15873084237073
2023-03-01,50.627451579888785
2023-04-01,51.27311492812685
2023-05-01,49.4668207838859
2023-06-01,52.34123743984139
2023-07-01,51.141868287169046
2023-08-01,48.00836735031359
2023-09-01,49.06438292136079
2023-10-01,56.18449630092171
2023-11-01,58.64635420896379
2023-12-01,62.07706335404693
2024-01-01,62.31183568296164
2024-02-01,72.90574958616807
2024-03-01,76.73938865177468
2024-04-01,66.10797377506563
2024-05-01,69.06548641236482
2024-06-01,64.79015235062568
2024-07-01,65.71192930377907
2024-08-01,60.72857087766663
2024-09-01,63.05689875267787
2024-10-01,66.44112944770848
2024-11-01,75.60880719965803
2024-12-01,73.13213670781056
2025-01-01,75.68189391888296
2025-02-01,62.790141187486896
2025-03-01,61.64617374385089
2025-04-01,65.91983692577739
2025-05-01,69.22403381676139
2025-06-01,69.97458747461016
2025-07-01,72.47110461619647
2025-08-01,67.22078049004037
2025-09-01,69.08682445994633
2025-10-01,65.95990566155052
