Date,RSI_SPX
2015-12-01,54.18795268307253
2016-01-01,47.271134917892
2016-02-01,46.77448339967647
2016-03-01,54.89805362618417
2016-04-01,55.21900597342176
2016-05-01,57.09086327765826
2016-06-01,57.207123644931634
2016-07-01,61.592136666464675
2016-08-01,61.35207093978374
2016-09-01,61.092752676088324
2016-10-01,57.01392501124891
2016-11-01,61.757282411483175
2016-12-01,64.10658262486044
2017-01-01,66.33487359748977
2017-02-01,70.50910287037037
2017-03-01,70.40707778508514
2017-04-01,71.44603074448874
2017-05-01,72.76895145725453
2017-06-01,73.3287248838946
2017-07-01,75.51769251076271
2017-08-01,75.57982719829019
2017-09-01,77.7310745853786
2017-10-01,79.95874522678314
2017-11-01,82.41030502580655
2017-12-01,83.20656980779191
2018-01-01,86.89350552810862
2018-02-01,74.07024504807765
2018-03-01,67.00578338073723
2018-04-01,67.33594440075697
2018-05-01,69.9193204258323
2018-06-01,70.49466712097124
2018-07-01,74.43135435702999
2018-08-01,77.27363166956886
2018-09-01,77.66452909733307
2018-10-01,59.711879603820876
2018-11-01,61.978439891415036
2018-12-01,47.06368285265614
2019-01-01,55.952250542639746
2019-02-01,58.97560693674857
2019-03-01,60.77568377086758
2019-04-01,64.51891350822088
2019-05-01,54.73668041549398
2019-06-01,60.9748956404551
2019-07-01,62.119506563928674
2019-08-01,59.49575396666438
2019-09-01,61.14386124267679
2019-10-01,63.09977629344966
2019-11-01,66.21412674031362
2019-12-01,68.68551408644333
2020-01-01,68.37003821130872
2020-02-01,54.47279482308343
2020-03-01,41.958981662591704
2020-04-01,52.40302575187414
2020-05-01,55.84506066543159
2020-06-01,57.25801675336589
2020-07-01,61.32519991006536
2020-08-01,65.99972398376596
2020-09-01,61.22519042669796
2020-10-01,58.15524983324326
2020-11-01,65.24820334693214
2020-12-01,67.5151707930094
2021-01-01,66.07098503177207
2021-02-01,67.78998858457953
2021-03-01,70.4783068398551
2021-04-01,73.54083972222314
2021-05-01,73.86245278967249
2021-06-01,75.18486734472529
2021-07-01,76.52384573759623
2021-08-01,78.17672249695376
2021-09-01,69.30432516449478
2021-10-01,73.74650983584783
2021-11-01,72.29462894622851
2021-12-01,75.04091247247439
2022-01-01,66.15474182774466
2022-02-01,61.70837640352392
2022-03-01,64.54404951019231
2022-04-01,53.64807583865633
2022-05-01,53.65272200554804
2022-06-01,45.842874641199195
2022-07-01,53.14800539499179
2022-08-01,49.494065049283655
2022-09-01,42.81426237554292
2022-10-01,48.60525263802611
2022-11-01,52.37979137822043
2022-12-01,47.99170718259452
2023-01-01,52.23787700498725
2023-02-01,50.2540875983017
2023-03-01,52.77873534116759
2023-04-01,53.86888608336617
2023-05-01,54.0653302884548
2023-06-01,58.98236584029696
2023-07-01,61.26931340335478
2023-08-01,59.18450103908792
2023-09-01,53.85375560186025
2023-10-01,51.701488178111425
2023-11-01,58.74697440414348
2023-12-01,61.97389717580478
2024-01-01,63.1392253028234
2024-02-01,66.76484282126614
2024-03-01,68.8463250573101
2024-04-01,62.97148431944899
2024-05-01,66.38752302498912
2024-06-01,68.73759943535671
2024-07-01,69.51317778076117
2024-08-01,71.08876460920277
2024-09-01,72.47469492573015
2024-10-01,70.65133777857817
2024-11-01,74.59690374513725
2024-12-01,69.92855595073281
2025-01-01,71.92309535996044
2025-02-01,69.24523383367374
2025-03-01,59.70958487089177
2025-04-01,58.6238802573662
2025-05-01,64.23213673111223
2025-06-01,68.20456065344939
2025-07-01,69.85730060730754
2025-08-01,71.30164340728864
2025-09-01,73.84937524195404
2025-10-01,75.41245546366069
