Date,RSI_TLT
2015-12-01,57.168162459540426
2016-01-01,62.78336238709442
2016-02-01,65.27957436357028
2016-03-01,65.12321949626775
2016-04-01,63.79617570647277
2016-05-01,64.62532455566078
2016-06-01,70.82208346135928
2016-07-01,72.5214855070571
2016-08-01,70.3740223919214
2016-09-01,67.2130939652869
2016-10-01,59.04429219485596
2016-11-01,47.80706041342802
2016-12-01,47.017579347195166
2017-01-01,48.60323210705527
2017-02-01,50.32913109441201
2017-03-01,49.48975462662432
2017-04-01,51.613549566035616
2017-05-01,54.177520915107934
2017-06-01,55.26275090509257
2017-07-01,54.1110673821207
2017-08-01,58.88071795070291
2017-09-01,54.582388244870785
2017-10-01,54.51887064215975
2017-11-01,55.68054804978838
2017-12-01,58.213676158042134
2018-01-01,52.3908093610288
2018-02-01,46.821418253301665
2018-03-01,51.563722675904
2018-04-01,48.08368561559539
2018-05-01,51.374972459814536
2018-06-01,52.42621938500521
2018-07-01,49.79235711112539
2018-08-01,52.13764183849482
2018-09-01,46.9249565037872
2018-10-01,42.394627225990355
2018-11-01,45.70181603699553
2018-12-01,54.74732449063844
2019-01-01,56.00944134063358
2019-02-01,52.99076889157351
2019-03-01,60.81249820780517
2019-04-01,56.955184674505574
2019-05-01,64.98406943199825
2019-06-01,66.0011608374868
2019-07-01,66.29720408687515
2019-08-01,75.77164120900142
2019-09-01,70.10018893094059
2019-10-01,67.87355557062432
2019-11-01,67.04387454317578
2019-12-01,60.50838294199128
2020-01-01,68.24928826499789
2020-02-01,73.15548958477511
2020-03-01,77.16671965218632
2020-04-01,77.89008857933001
2020-05-01,74.22531735154801
2020-06-01,74.47100017285314
2020-07-01,77.5192288954931
2020-08-01,67.2768430777237
2020-09-01,67.93996339604793
2020-10-01,61.9765406956296
2020-11-01,63.61075831182949
2020-12-01,61.30780329159539
2021-01-01,55.75038784693803
2021-02-01,48.044818524241386
2021-03-01,42.67109515853941
2021-04-01,45.6020247595203
2021-05-01,45.59408664610939
2021-06-01,50.914521116943945
2021-07-01,55.08199806666844
2021-08-01,54.621383933530865
2021-09-01,50.63160316913903
2021-10-01,53.629503216065466
2021-11-01,56.87757518195835
2021-12-01,53.69541012189527
2022-01-01,48.69465411404807
2022-02-01,46.53780224640304
2022-03-01,40.68090753020502
2022-04-01,33.2755380667587
2022-05-01,31.913564100065784
2022-06-01,31.15553125438477
2022-07-01,34.27584303344847
2022-08-01,31.32792813688279
2022-09-01,26.98362296713384
2022-10-01,24.5456549003722
2022-11-01,31.966701116421945
2022-12-01,30.583289776314857
2023-01-01,38.55731521716115
2023-02-01,35.58488537170682
2023-03-01,40.07996303422041
2023-04-01,40.40061712655594
2023-05-01,38.38097544172612
2023-06-01,38.597651457975886
2023-07-01,36.84795040143334
2023-08-01,34.80405074061052
2023-09-01,30.35409176096603
2023-10-01,27.922809266993667
2023-11-01,37.17353593404745
2023-12-01,44.32352033787428
2024-01-01,43.21235949282388
2024-02-01,41.467646491214424
2024-03-01,42.22176313367971
2024-04-01,37.8845727471473
2024-05-01,40.607218629727925
2024-06-01,42.388879840990086
2024-07-01,45.94740687642882
2024-08-01,48.00343823262034
2024-09-01,50.006271950518624
2024-10-01,44.851308015847266
2024-11-01,46.86879107192645
2024-12-01,41.202655346960626
2025-01-01,42.47797725037645
2025-02-01,47.804067505262296
2025-03-01,46.731206685895685
2025-04-01,45.421300536791804
2025-05-01,42.520646218581746
2025-06-01,45.516982926511865
2025-07-01,44.41927515958779
2025-08-01,44.42369392311769
2025-09-01,48.87715030368448
2025-10-01,50.614002120475334
