Date,n_transactions
2015-12-01,195510.26785714287
2016-01-01,185520.5918367347
2016-02-01,215896.5357142857
2016-03-01,200423.97959183675
2016-04-01,207085.60714285713
2016-05-01,222497.9107142857
2016-06-01,228889.81632653062
2016-07-01,210242.4642857143
2016-08-01,224755.75
2016-09-01,220134.38775510204
2016-10-01,237574.60714285713
2016-11-01,263504.5714285714
2016-12-01,279922.85714285716
2017-01-01,277635.1964285714
2017-02-01,290396.4897959184
2017-03-01,289105.26785714284
2017-04-01,276571.85714285716
2017-05-01,321488.39285714284
2017-06-01,278759.85714285716
2017-07-01,236692.30357142858
2017-08-01,245612.25
2017-09-01,247531.63265306124
2017-10-01,281688.08928571426
2017-11-01,302686.14285714284
2017-12-01,374783.4285714286
2018-01-01,301081.51785714284
2018-02-01,195461.73469387757
2018-03-01,185128.42857142858
2018-04-01,185517.34693877553
2018-05-01,201502.5892857143
2018-06-01,191542.9107142857
2018-07-01,202266.10204081633
2018-08-01,215929.69642857142
2018-09-01,228836.48214285713
2018-10-01,239846.14285714287
2018-11-01,269371.25
2018-12-01,262448.4285714286
2019-01-01,291200.8775510204
2019-02-01,324576.9183673469
2019-03-01,303414.3214285714
2019-04-01,368548.9464285714
2019-05-01,371223.2244897959
2019-06-01,351846.8392857143
2019-07-01,336587.91071428574
2019-08-01,327535.8367346939
2019-09-01,330169.0714285714
2019-10-01,319609.23214285716
2019-11-01,310249.28571428574
2019-12-01,303468.7142857143
2020-01-01,306410.6964285714
2020-02-01,325738.9183673469
2020-03-01,294575.9464285714
2020-04-01,284160.38775510207
2020-05-01,297744.6607142857
2020-06-01,304139.95918367343
2020-07-01,322035.0892857143
2020-08-01,319017.7142857143
2020-09-01,315497.8163265306
2020-10-01,308152.1964285714
2020-11-01,302309.73214285716
2020-12-01,311155.5714285714
2021-01-01,328343.35714285716
2021-02-01,322392.04081632657
2021-03-01,299348.71428571426
2021-04-01,281347.3469387755
2021-05-01,261168.0357142857
2021-06-01,217658.30357142858
2021-07-01,213740.73469387754
2021-08-01,240249.4642857143
2021-09-01,251065.67857142858
2021-10-01,272401.71428571426
2021-11-01,275447.1964285714
2021-12-01,262879.4464285714
2022-01-01,250971.34693877553
2022-02-01,250030.10204081633
2022-03-01,252733.05357142858
2022-04-01,261064.6607142857
2022-05-01,263746.61224489793
2022-06-01,251277.80357142858
2022-07-01,248586.9642857143
2022-08-01,252722.693877551
2022-09-01,253136.48214285713
2022-10-01,258102.5
2022-11-01,263234.1836734694
2022-12-01,256624.94642857145
2023-01-01,279497.46428571426
2023-02-01,298869.36734693876
2023-03-01,316336.1836734694
2023-04-01,335625.0714285714
2023-05-01,526427.3392857143
2023-06-01,411504.3469387755
2023-07-01,449305.125
2023-08-01,467710.5892857143
2023-09-01,512007.2448979592
2023-10-01,311283.8035714286
2023-11-01,550698.8979591837
2023-12-01,547890.2857142857
2024-01-01,485879.7857142857
2024-02-01,377036.28571428574
2024-03-01,376162.01785714284
2024-04-01,466450.9387755102
2024-05-01,556912.0178571428
2024-06-01,586877.0178571428
2024-07-01,619983.4897959185
2024-08-01,605504.2321428572
2024-09-01,597098.6071428572
2024-10-01,654511.8367346938
2024-11-01,556541.4821428572
2024-12-01,431088.9464285714
2025-01-01,378759.0
2025-02-01,386410.7551020408
2025-03-01,404079.8214285714
2025-04-01,409725.0
2025-05-01,391093.04081632657
2025-06-01,346389.66071428574
2025-07-01,414220.10714285716
2025-08-01,435627.7755102041
2025-09-01,513292.5535714286
2025-10-01,475345.14285714284
