Date,Rates
2015-12-01,0.14800000190734863
2016-01-01,0.30000001192092896
2016-02-01,0.30799999833106995
2016-03-01,0.19300000369548798
2016-04-01,0.19300000369548798
2016-05-01,0.28299999237060547
2016-06-01,0.24799999594688416
2016-07-01,0.23999999463558197
2016-08-01,0.3199999928474426
2016-09-01,0.25999999046325684
2016-10-01,0.29499998688697815
2016-11-01,0.46799999475479126
2016-12-01,0.47999998927116394
2017-01-01,0.5
2017-02-01,0.5230000019073486
2017-03-01,0.7379999756813049
2017-04-01,0.7799999713897705
2017-05-01,0.949999988079071
2017-06-01,0.9929999709129333
2017-07-01,1.0529999732971191
2017-08-01,0.9779999852180481
2017-09-01,1.027999997138977
2017-10-01,1.1230000257492065
2017-11-01,1.2380000352859497
2017-12-01,1.3550000190734863
2018-01-01,1.4299999475479126
2018-02-01,1.6180000305175781
2018-03-01,1.6699999570846558
2018-04-01,1.7630000114440918
2018-05-01,1.8700000047683716
2018-06-01,1.8799999952316284
2018-07-01,1.9850000143051147
2018-08-01,2.055000066757202
2018-09-01,2.1500000953674316
2018-10-01,2.2780001163482666
2018-11-01,2.308000087738037
2018-12-01,2.299999952316284
2019-01-01,2.3399999141693115
2019-02-01,2.382999897003174
2019-03-01,2.328000068664551
2019-04-01,2.368000030517578
2019-05-01,2.2929999828338623
2019-06-01,2.0350000858306885
2019-07-01,2.0299999713897705
2019-08-01,1.9329999685287476
2019-09-01,1.7699999809265137
2019-10-01,1.4980000257492065
2019-11-01,1.5399999618530273
2019-12-01,1.5049999952316284
2020-01-01,1.5099999904632568
2020-02-01,1.2300000190734863
2020-03-01,0.029999999329447746
2020-04-01,0.09000000357627869
2020-05-01,0.12800000607967377
2020-06-01,0.13500000536441803
2020-07-01,0.08299999684095383
2020-08-01,0.0949999988079071
2020-09-01,0.08500000089406967
2020-10-01,0.08299999684095383
2020-11-01,0.07500000298023224
2020-12-01,0.06499999761581421
2021-01-01,0.04800000041723251
2021-02-01,0.03500000014901161
2021-03-01,0.013000000268220901
2021-04-01,0.003000000026077032
2021-05-01,0.00800000037997961
2021-06-01,0.03999999910593033
2021-07-01,0.03999999910593033
2021-08-01,0.03999999910593033
2021-09-01,0.02800000086426735
2021-10-01,0.04800000041723251
2021-11-01,0.04800000041723251
2021-12-01,0.032999999821186066
2022-01-01,0.17299999296665192
2022-02-01,0.2879999876022339
2022-03-01,0.49300000071525574
2022-04-01,0.8080000281333923
2022-05-01,1.0299999713897705
2022-06-01,1.600000023841858
2022-07-01,2.2980000972747803
2022-08-01,2.859999895095825
2022-09-01,3.180000066757202
2022-10-01,3.9749999046325684
2022-11-01,4.252999782562256
2022-12-01,4.260000228881836
2023-01-01,4.570000171661377
2023-02-01,4.710000038146973
2023-03-01,4.585000038146973
2023-04-01,4.922999858856201
2023-05-01,5.248000144958496
2023-06-01,5.1529998779296875
2023-07-01,5.248000144958496
2023-08-01,5.297999858856201
2023-09-01,5.300000190734863
2023-10-01,5.320000171661377
2023-11-01,5.23799991607666
2023-12-01,5.179999828338623
2024-01-01,5.188000202178955
2024-02-01,5.2230000495910645
2024-03-01,5.203000068664551
2024-04-01,5.244999885559082
2024-05-01,5.23799991607666
2024-06-01,5.23799991607666
2024-07-01,5.23799991607666
2024-08-01,5.23799991607666
2024-09-01,5.23799991607666
2024-10-01,5.23799991607666
2024-11-01,5.23799991607666
2024-12-01,5.23799991607666
2025-01-01,5.23799991607666
2025-02-01,5.23799991607666
2025-03-01,5.23799991607666
2025-04-01,5.23799991607666
2025-05-01,5.23799991607666
2025-06-01,5.23799991607666
2025-07-01,5.23799991607666
2025-08-01,5.23799991607666
2025-09-01,5.23799991607666
2025-10-01,5.23799991607666
