Date,USDT
2015-12-01,
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,
2016-08-01,
2016-09-01,
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,1.0081000328063965
2017-12-01,1.0122599601745605
2018-01-01,0.9902740120887756
2018-02-01,0.9989029765129089
2018-03-01,1.0007699728012085
2018-04-01,0.9989190101623535
2018-05-01,0.9980030059814453
2018-06-01,0.9991919994354248
2018-07-01,0.9995070099830627
2018-08-01,1.0035099983215332
2018-09-01,1.0003600120544434
2018-10-01,0.9881219863891602
2018-11-01,0.9918230175971985
2018-12-01,1.0137219429016113
2019-01-01,1.0064899921417236
2019-02-01,1.0100669860839844
2019-03-01,1.0005589723587036
2019-04-01,1.0060490369796753
2019-05-01,1.0034730434417725
2019-06-01,0.9924870133399963
2019-07-01,1.003749966621399
2019-08-01,1.0037440061569214
2019-09-01,1.0041090250015259
2019-10-01,1.0064189434051514
2019-11-01,1.0017030239105225
2019-12-01,0.9996790289878845
2020-01-01,1.000648021697998
2020-02-01,1.0063680410385132
2020-03-01,1.0030269622802734
2020-04-01,1.0051120519638062
2020-05-01,0.9980329871177673
2020-06-01,0.9999039769172668
2020-07-01,1.0001410245895386
2020-08-01,1.0031909942626953
2020-09-01,1.00136399269104
2020-10-01,1.0002000331878662
2020-11-01,1.0003770589828491
2020-12-01,1.0005979537963867
2021-01-01,1.0008080005645752
2021-02-01,1.00211501121521
2021-03-01,1.0000200271606445
2021-04-01,1.0000089406967163
2021-05-01,1.0005329847335815
2021-06-01,1.000216007232666
2021-07-01,1.0002720355987549
2021-08-01,1.0005290508270264
2021-09-01,1.000154972076416
2021-10-01,1.0003759860992432
2021-11-01,1.0002859830856323
2021-12-01,1.000188946723938
2022-01-01,1.0004849433898926
2022-02-01,1.0003509521484375
2022-03-01,1.0003039836883545
2022-04-01,1.000154972076416
2022-05-01,0.9993879795074463
2022-06-01,0.9988189935684204
2022-07-01,1.0003279447555542
2022-08-01,1.0000159740447998
2022-09-01,1.0000489950180054
2022-10-01,0.9999470114707947
2022-11-01,1.0000150203704834
2022-12-01,0.9996740221977234
2023-01-01,1.0001169443130493
2023-02-01,1.0001540184020996
2023-03-01,1.0001239776611328
2023-04-01,1.0004379749298096
2023-05-01,1.0003340244293213
2023-06-01,1.000080943107605
2023-07-01,0.9999110102653503
2023-08-01,0.9998459815979004
2023-09-01,1.0002100467681885
2023-10-01,1.0003149509429932
2023-11-01,1.000156044960022
2023-12-01,0.9997299909591675
2024-01-01,1.0000280141830444
2024-02-01,1.0004019737243652
2024-03-01,1.000040054321289
2024-04-01,0.9991620182991028
2024-05-01,0.9989950060844421
2024-06-01,0.9984089732170105
2024-07-01,0.9997329711914062
2024-08-01,0.9998840093612671
2024-09-01,0.999813973903656
2024-10-01,0.9986230134963989
2024-11-01,1.0006300210952759
2024-12-01,0.9980779886245728
2025-01-01,0.999770998954773
2025-02-01,0.9995290040969849
2025-03-01,0.9997680187225342
2025-04-01,1.0001649856567383
2025-05-01,1.000372052192688
2025-06-01,1.000251054763794
2025-07-01,0.9999570250511169
2025-08-01,1.000059962272644
2025-09-01,1.0000959634780884
2025-10-01,0.999576985836029
